,NRO,AGRUPACION POLITICA,DIPUTADO NACIONAL,GOBERNADOR PROVINCIAL,DIPUTADO PROVINCIAL,CARGOS MUNICIPALES,mesa,eleciones,circuito
9,,TOTALES,288.0,288,288,288.0,110,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
0,131/1911,FRENTE NOS,,4,3,,111,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
1,133,FRENTE DE IZQUIERDA Y DE TRABAJADORES-UNIDAD,7.0,5,8,4.0,111,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
2,135,JUNTOS POR EL CAMBIO,126.0,133,125,98.0,111,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
3,136/503,FRENTE DE TODOS,109.0,109,110,152.0,111,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
4,137,CONSENSO FEDERAL,20.0,16,16,10.0,111,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
5,,VOTOS NULOS,2.0,2,3,3.0,111,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
6,,VOTOS RECURRIDOS,0.0,0,0,0.0,111,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
7,,VOTOS IMPUGNADOS,0.0,0,0,0.0,111,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
8,,VOTOS EN BLANCO,16.0,11,15,13.0,111,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
9,,TOTALES,280.0,280,280,280.0,111,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
0,131/1911,FRENTE NOS,,4,3,,112,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
1,133,FRENTE DE IZQUIERDA Y DE TRABAJADORES-UNIDAD,9.0,9,10,6.0,112,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
2,135,JUNTOS POR EL CAMBIO,118.0,123,117,83.0,112,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
3,136/503,FRENTE DE TODOS,114.0,116,116,166.0,112,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
4,137,CONSENSO FEDERAL,19.0,14,14,12.0,112,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
5,,VOTOS NULOS,1.0,1,2,2.0,112,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
6,,VOTOS RECURRIDOS,0.0,0,0,0.0,112,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
7,,VOTOS IMPUGNADOS,1.0,1,1,1.0,112,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
8,,VOTOS EN BLANCO,20.0,14,19,12.0,112,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
9,,TOTALES,282.0,282,282,282.0,112,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
0,131/1911,FRENTE NOS,,1,1,,113,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
1,133,FRENTE DE IZQUIERDA Y DE TRABAJADORES-UNIDAD,9.0,9,8,6.0,113,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
2,135,JUNTOS POR EL CAMBIO,145.0,145,144,102.0,113,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
3,136/503,FRENTE DE TODOS,113.0,115,116,163.0,113,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
4,137,CONSENSO FEDERAL,14.0,12,14,14.0,113,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
5,,VOTOS NULOS,2.0,2,2,2.0,113,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
6,,VOTOS RECURRIDOS,0.0,0,0,0.0,113,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
7,,VOTOS IMPUGNADOS,0.0,0,0,0.0,113,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
8,,VOTOS EN BLANCO,16.0,15,14,12.0,113,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
9,,TOTALES,299.0,299,299,299.0,113,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
0,131/1911,FRENTE NOS,,4,4,,114,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
1,133,FRENTE DE IZQUIERDA Y DE TRABAJADORES-UNIDAD,6.0,6,6,6.0,114,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
2,135,JUNTOS POR EL CAMBIO,118.0,124,120,93.0,114,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
3,136/503,FRENTE DE TODOS,125.0,127,127,161.0,114,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
4,137,CONSENSO FEDERAL,21.0,17,17,15.0,114,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
5,,VOTOS NULOS,1.0,1,1,1.0,114,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
6,,VOTOS RECURRIDOS,0.0,0,0,0.0,114,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
7,,VOTOS IMPUGNADOS,1.0,1,1,1.0,114,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
8,,VOTOS EN BLANCO,14.0,6,10,9.0,114,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
9,,TOTALES,286.0,286,286,286.0,114,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
0,131/1911,FRENTE NOS,,1,1,,115,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
1,133,FRENTE DE IZQUIERDA Y DE TRABAJADORES-UNIDAD,6.0,4,5,3.0,115,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
2,135,JUNTOS POR EL CAMBIO,122.0,125,119,89.0,115,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
3,136/503,FRENTE DE TODOS,116.0,116,115,146.0,115,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
4,137,CONSENSO FEDERAL,18.0,18,18,15.0,115,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
5,,VOTOS NULOS,2.0,2,2,4.0,115,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
6,,VOTOS RECURRIDOS,0.0,0,0,0.0,115,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
7,,VOTOS IMPUGNADOS,0.0,0,0,0.0,115,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
8,,VOTOS EN BLANCO,15.0,13,19,22.0,115,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
9,,TOTALES,279.0,279,279,279.0,115,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
0,131/1911,FRENTE NOS,,2,2,,116,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
1,133,FRENTE DE IZQUIERDA Y DE TRABAJADORES-UNIDAD,8.0,8,8,8.0,116,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
2,135,JUNTOS POR EL CAMBIO,86.0,87,86,59.0,116,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
3,136/503,FRENTE DE TODOS,68.0,69,69,93.0,116,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
4,137,CONSENSO FEDERAL,12.0,10,11,5.0,116,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
5,,VOTOS NULOS,2.0,2,2,3.0,116,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
6,,VOTOS RECURRIDOS,0.0,0,0,0.0,116,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
7,,VOTOS IMPUGNADOS,0.0,0,0,0.0,116,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
8,,VOTOS EN BLANCO,5.0,3,3,13.0,116,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
9,,TOTALES,181.0,181,181,181.0,116,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,640
0,131/1911,FRENTE NOS,,2,4,,117,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,641
1,133,FRENTE DE IZQUIERDA Y DE TRABAJADORES-UNIDAD,9.0,5,8,5.0,117,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,641
2,135,JUNTOS POR EL CAMBIO,126.0,130,121,87.0,117,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,641
3,136/503,FRENTE DE TODOS,120.0,124,121,154.0,117,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,641
4,137,CONSENSO FEDERAL,16.0,14,15,17.0,117,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,641
5,,VOTOS NULOS,0.0,0,0,1.0,117,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,641
6,,VOTOS RECURRIDOS,0.0,0,0,0.0,117,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,641
7,,VOTOS IMPUGNADOS,0.0,0,0,0.0,117,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,641
8,,VOTOS EN BLANCO,18.0,14,20,25.0,117,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,641
9,,TOTALES,289.0,289,289,289.0,117,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,641
0,131/1911,FRENTE NOS,,1,1,,118,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,641
1,133,FRENTE DE IZQUIERDA Y DE TRABAJADORES-UNIDAD,11.0,11,11,3.0,118,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,641
2,135,JUNTOS POR EL CAMBIO,119.0,121,117,80.0,118,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,641
3,136/503,FRENTE DE TODOS,123.0,125,124,163.0,118,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,641
4,137,CONSENSO FEDERAL,14.0,14,13,14.0,118,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,641
5,,VOTOS NULOS,2.0,2,2,5.0,118,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,641
6,,VOTOS RECURRIDOS,0.0,0,0,0.0,118,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,641
7,,VOTOS IMPUGNADOS,0.0,0,0,0.0,118,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,641
8,,VOTOS EN BLANCO,11.0,6,12,15.0,118,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,641
9,,TOTALES,280.0,280,280,280.0,118,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,641
0,131/1911,FRENTE NOS,,2,2,,119,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,641
1,133,FRENTE DE IZQUIERDA Y DE TRABAJADORES-UNIDAD,9.0,6,7,5.0,119,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,641
2,135,JUNTOS POR EL CAMBIO,141.0,142,135,92.0,119,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,641
3,136/503,FRENTE DE TODOS,118.0,120,120,165.0,119,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,641
4,137,CONSENSO FEDERAL,11.0,10,11,11.0,119,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,641
5,,VOTOS NULOS,0.0,0,0,0.0,119,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,641
6,,VOTOS RECURRIDOS,0.0,0,0,0.0,119,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,641
7,,VOTOS IMPUGNADOS,0.0,0,0,0.0,119,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,641
8,,VOTOS EN BLANCO,16.0,15,20,22.0,119,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,641
9,,TOTALES,295.0,295,295,295.0,119,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,641
0,131/1911,FRENTE NOS,,3,3,,120,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,641
1,133,FRENTE DE IZQUIERDA Y DE TRABAJADORES-UNIDAD,5.0,3,5,2.0,120,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,641
2,135,JUNTOS POR EL CAMBIO,124.0,131,127,87.0,120,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,641
3,136/503,FRENTE DE TODOS,115.0,118,118,157.0,120,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,641
4,137,CONSENSO FEDERAL,11.0,8,7,7.0,120,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,641
5,,VOTOS NULOS,0.0,0,0,0.0,120,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,641
6,,VOTOS RECURRIDOS,0.0,0,0,0.0,120,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,641
7,,VOTOS IMPUGNADOS,0.0,0,0,0.0,120,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,641
8,,VOTOS EN BLANCO,16.0,8,11,18.0,120,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,641
9,,TOTALES,271.0,271,271,271.0,120,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,641
0,131/1911,FRENTE NOS,,1,1,,121,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,641
1,133,FRENTE DE IZQUIERDA Y DE TRABAJADORES-UNIDAD,11.0,8,9,7.0,121,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,641
2,135,JUNTOS POR EL CAMBIO,143.0,151,145,108.0,121,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,641
3,136/503,FRENTE DE TODOS,112.0,118,117,159.0,121,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,641
4,137,CONSENSO FEDERAL,15.0,11,14,12.0,121,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,641
5,,VOTOS NULOS,0.0,0,0,0.0,121,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,641
6,,VOTOS RECURRIDOS,0.0,0,0,0.0,121,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,641
7,,VOTOS IMPUGNADOS,0.0,0,0,0.0,121,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,641
8,,VOTOS EN BLANCO,17.0,9,12,12.0,121,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,641
9,,TOTALES,298.0,298,298,298.0,121,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,641
0,131/1911,FRENTE NOS,,1,3,,122,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,641
1,133,FRENTE DE IZQUIERDA Y DE TRABAJADORES-UNIDAD,4.0,2,4,1.0,122,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,641
2,135,JUNTOS POR EL CAMBIO,147.0,150,141,117.0,122,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,641
3,136/503,FRENTE DE TODOS,106.0,107,108,143.0,122,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,641
4,137,CONSENSO FEDERAL,15.0,14,14,11.0,122,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,641
5,,VOTOS NULOS,0.0,0,0,0.0,122,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,641
6,,VOTOS RECURRIDOS,0.0,0,0,0.0,122,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,641
7,,VOTOS IMPUGNADOS,0.0,0,0,0.0,122,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,641
8,,VOTOS EN BLANCO,21.0,19,23,21.0,122,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,641
9,,TOTALES,293.0,293,293,293.0,122,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,641
0,131/1911,FRENTE NOS,,1,1,,123,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,641
1,133,FRENTE DE IZQUIERDA Y DE TRABAJADORES-UNIDAD,5.0,4,5,3.0,123,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,641
2,135,JUNTOS POR EL CAMBIO,121.0,130,128,87.0,123,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,641
3,136/503,FRENTE DE TODOS,123.0,124,124,162.0,123,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,641
4,137,CONSENSO FEDERAL,17.0,11,11,10.0,123,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,641
5,,VOTOS NULOS,2.0,2,2,2.0,123,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,641
6,,VOTOS RECURRIDOS,0.0,0,0,0.0,123,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,641
7,,VOTOS IMPUGNADOS,0.0,0,0,0.0,123,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,641
8,,VOTOS EN BLANCO,19.0,15,16,23.0,123,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,641
9,,TOTALES,287.0,287,287,287.0,123,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,641
0,131/1911,FRENTE NOS,,2,2,,124,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,641
1,133,FRENTE DE IZQUIERDA Y DE TRABAJADORES-UNIDAD,4.0,2,3,3.0,124,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,641
2,135,JUNTOS POR EL CAMBIO,57.0,60,57,39.0,124,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,641
3,136/503,FRENTE DE TODOS,64.0,66,67,93.0,124,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,641
4,137,CONSENSO FEDERAL,8.0,6,7,3.0,124,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,641
5,,VOTOS NULOS,0.0,1,0,1.0,124,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,641
6,,VOTOS RECURRIDOS,0.0,0,0,0.0,124,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,641
7,,VOTOS IMPUGNADOS,0.0,0,0,0.0,124,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,641
8,,VOTOS EN BLANCO,9.0,5,6,3.0,124,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,641
9,,TOTALES,142.0,142,142,142.0,124,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,641
0,131/1911,FRENTE NOS,,4,4,,125,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,642
1,133,FRENTE DE IZQUIERDA Y DE TRABAJADORES-UNIDAD,5.0,5,5,3.0,125,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,642
2,135,JUNTOS POR EL CAMBIO,117.0,121,112,70.0,125,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,642
3,136/503,FRENTE DE TODOS,129.0,125,126,177.0,125,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,642
4,137,CONSENSO FEDERAL,19.0,17,20,16.0,125,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,642
5,,VOTOS NULOS,2.0,2,2,2.0,125,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,642
6,,VOTOS RECURRIDOS,0.0,0,0,0.0,125,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,642
7,,VOTOS IMPUGNADOS,0.0,0,0,0.0,125,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,642
8,,VOTOS EN BLANCO,20.0,18,23,24.0,125,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,642
9,,TOTALES,292.0,292,292,292.0,125,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,642
0,131/1911,FRENTE NOS,,1,0,,126,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,642
1,133,FRENTE DE IZQUIERDA Y DE TRABAJADORES-UNIDAD,8.0,6,7,6.0,126,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,642
2,135,JUNTOS POR EL CAMBIO,124.0,131,124,94.0,126,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,642
3,136/503,FRENTE DE TODOS,127.0,128,129,166.0,126,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,642
4,137,CONSENSO FEDERAL,15.0,13,13,12.0,126,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,642
5,,VOTOS NULOS,2.0,2,2,5.0,126,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,642
6,,VOTOS RECURRIDOS,0.0,0,0,0.0,126,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,642
7,,VOTOS IMPUGNADOS,1.0,1,1,1.0,126,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,642
8,,VOTOS EN BLANCO,16.0,11,17,9.0,126,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,642
9,,TOTALES,293.0,293,293,293.0,126,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,642
0,131/1911,FRENTE NOS,,3,3,,127,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,642
1,133,FRENTE DE IZQUIERDA Y DE TRABAJADORES-UNIDAD,9.0,5,5,5.0,127,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,642
2,135,JUNTOS POR EL CAMBIO,133.0,134,133,96.0,127,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,642
3,136/503,FRENTE DE TODOS,122.0,128,128,163.0,127,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,642
4,137,CONSENSO FEDERAL,9.0,8,7,7.0,127,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,642
5,,VOTOS NULOS,0.0,0,0,0.0,127,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,642
6,,VOTOS RECURRIDOS,0.0,0,0,0.0,127,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,642
7,,VOTOS IMPUGNADOS,0.0,0,0,0.0,127,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,642
8,,VOTOS EN BLANCO,15.0,10,12,17.0,127,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,642
9,,TOTALES,288.0,288,288,288.0,127,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,642
0,131/1911,FRENTE NOS,,0,1,,128,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,642
1,133,FRENTE DE IZQUIERDA Y DE TRABAJADORES-UNIDAD,6.0,5,6,3.0,128,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,642
2,135,JUNTOS POR EL CAMBIO,145.0,149,139,112.0,128,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,642
3,136/503,FRENTE DE TODOS,113.0,113,114,151.0,128,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,642
4,137,CONSENSO FEDERAL,12.0,9,11,8.0,128,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,642
5,,VOTOS NULOS,1.0,1,1,3.0,128,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,642
6,,VOTOS RECURRIDOS,0.0,0,0,0.0,128,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,642
7,,VOTOS IMPUGNADOS,0.0,0,0,0.0,128,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,642
8,,VOTOS EN BLANCO,17.0,17,22,17.0,128,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,642
9,,TOTALES,294.0,294,294,294.0,128,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,642
0,131/1911,FRENTE NOS,,4,4,,129,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,642
1,133,FRENTE DE IZQUIERDA Y DE TRABAJADORES-UNIDAD,6.0,5,6,5.0,129,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,642
2,135,JUNTOS POR EL CAMBIO,132.0,136,131,91.0,129,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,642
3,136/503,FRENTE DE TODOS,121.0,122,123,168.0,129,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,642
4,137,CONSENSO FEDERAL,11.0,11,11,14.0,129,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,642
5,,VOTOS NULOS,2.0,1,1,4.0,129,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,642
6,,VOTOS RECURRIDOS,0.0,0,0,0.0,129,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,642
7,,VOTOS IMPUGNADOS,0.0,0,0,0.0,129,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,642
8,,VOTOS EN BLANCO,24.0,17,20,14.0,129,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,642
9,,TOTALES,296.0,296,296,296.0,129,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,642
0,131/1911,FRENTE NOS,,4,5,,130,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,642
1,133,FRENTE DE IZQUIERDA Y DE TRABAJADORES-UNIDAD,9.0,9,9,8.0,130,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,642
2,135,JUNTOS POR EL CAMBIO,120.0,123,119,93.0,130,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,642
3,136/503,FRENTE DE TODOS,132.0,131,132,168.0,130,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,642
4,137,CONSENSO FEDERAL,16.0,15,15,12.0,130,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,642
5,,VOTOS NULOS,1.0,1,1,1.0,130,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,642
6,,VOTOS RECURRIDOS,0.0,0,0,0.0,130,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,642
7,,VOTOS IMPUGNADOS,0.0,0,0,0.0,130,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,642
8,,VOTOS EN BLANCO,11.0,6,8,7.0,130,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,642
9,,TOTALES,289.0,289,289,289.0,130,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,642
0,131/1911,FRENTE NOS,,1,2,,131,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,642
1,133,FRENTE DE IZQUIERDA Y DE TRABAJADORES-UNIDAD,14.0,11,14,5.0,131,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,642
2,135,JUNTOS POR EL CAMBIO,130.0,134,127,89.0,131,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,642
3,136/503,FRENTE DE TODOS,135.0,136,137,184.0,131,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,642
4,137,CONSENSO FEDERAL,16.0,15,14,10.0,131,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,642
5,,VOTOS NULOS,1.0,1,1,1.0,131,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,642
6,,VOTOS RECURRIDOS,0.0,0,0,0.0,131,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,642
7,,VOTOS IMPUGNADOS,0.0,0,0,0.0,131,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,642
8,,VOTOS EN BLANCO,11.0,9,12,18.0,131,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,642
9,,TOTALES,307.0,307,307,307.0,131,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,642
0,131/1911,FRENTE NOS,,2,2,,132,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,642
1,133,FRENTE DE IZQUIERDA Y DE TRABAJADORES-UNIDAD,11.0,8,8,7.0,132,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,642
2,135,JUNTOS POR EL CAMBIO,147.0,152,144,107.0,132,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,642
3,136/503,FRENTE DE TODOS,99.0,99,104,146.0,132,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,642
4,137,CONSENSO FEDERAL,15.0,14,14,12.0,132,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,642
5,,VOTOS NULOS,2.0,2,2,2.0,132,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,642
6,,VOTOS RECURRIDOS,0.0,0,0,0.0,132,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,642
7,,VOTOS IMPUGNADOS,0.0,0,0,0.0,132,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,642
8,,VOTOS EN BLANCO,15.0,12,15,15.0,132,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,642
9,,TOTALES,289.0,289,289,289.0,132,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,642
